"Product Name","OrgPrice","Price","Rating"
"Canon EOS 200D II 24.1MP Digital SLR Camera + EF",61995,54990,"4.5"
"Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18",39995,35990,"4.4"
"Canon EOS 200D II 24.1MP Digital SLR Camera + EF",63494,56189,"4.5"
"Canon EOS 6D Mark II 26.2MP Digital SLR Camera with EF24",196990,169999,"4.0"
"Canon EOS R5 45MP Full",365995,355000,"3.3"
"Canon EOS R10 24.2MP Mirrorless Digital Camera with RF",117995,115999,"4.9"
"Canon EOS 90D Digital SLR Camera (Body Only  Black",105495,95273,"4.6"
"Canon EOS M50 24.1MP Digital Zoom Mirrorless Camera (Black) with EF",75000,65000,"4.5"
"(Renewed) Canon PowerShot SX540HS 20.3MP Digital Camera with 50x Optical Zoom (Black) + Memory Card + Camera Cas",29999,21999,"2.9"
"Canon RP Body Digital Camera [Black",94995,92500,"4.2"
"Canon PowerShot SX740 Digital Camera w/40x Optical Zoom and 3 Inch (7cm) Tilt LCD ",88413,62413,"4.4"
"Canon EOS R Mirrorless Digital Camera with 24",500189,449189,"4.6"
